match_hash,tourney_name,tourney_date,is_hard,is_clay,is_grass,is_bo5,p1_name,p2_name,p1_height,p1_lefty,p1_age,p1_home,p1_rating,p1_dev,p1_surface_rating,p1_surface_dev,p1_recent_rating,p1_w,p1_l,p1_surface_w,p1_surface_l,p1_inactive_days,p2_height,p2_lefty,p2_age,p2_home,p2_rating,p2_dev,p2_surface_rating,p2_surface_dev,p2_recent_rating,p2_w,p2_l,p2_surface_w,p2_surface_l,p2_inactive_days,p1_win,p1_odds,p2_odds
2020Jer20Knd691770800,Auckland,20200113,1,0,0,0,John Isner,Kyle Edmund,206,0,34.7,0,1174.0117364568564,210.87927989683104,1174.3541674875592,209.11106792930335,1199.306135123872,0,4,0,4,0,188,0,25.0,0,1232.4034167192808,296.51954794888627,1232.4034167192808,294.9980378168842,1232.4034167192808,0,1,0,1,7,1,1.92,2
2020Urt57Dov139002200,Auckland,20200113,1,0,0,0,Ugo Humbert,Denis Shapovalov,188,1,21.5,0,1639.1364350786537,208.2537772458653,1637.704027510997,207.06966288150946,1625.0814675141548,3,1,3,1,0,185,1,20.7,0,1486.146716751425,212.93691093393898,1486.146716751425,210.8130167662525,1492.4097069973786,2,2,2,2,7,1,3.26,1.4
2020Fez61Fni128882310,Auckland,20200113,1,0,0,0,Feliciano Lopez,Fabio Fognini,188,1,38.3,0,1358.676450353331,270.5667484318173,1359.495928799301,270.4407312461446,1358.676450353331,0,1,0,1,0,178,0,32.6,0,1359.1922659777733,217.5943361607238,1359.1922659777733,215.51634538759717,1357.239851357704,1,2,1,2,7,1,3.19,1.4
2020Hcz34Mer771318685,Auckland,20200113,1,0,0,0,Mikael Ymer,Hubert Hurkacz,183,0,21.3,0,1464.9673168998763,253.85848622194337,1464.9673168998763,252.07961247767858,1462.0202777892328,1,1,1,1,7,196,0,22.9,0,1644.1267220162138,196.19110262867443,1645.3390837322136,194.93716448645202,1643.4302268050417,4,1,4,1,0,0,2.84,1.49
2020Jan47Kov1610711995,Auckland,20200113,1,0,0,0,Karen Khachanov,John Millman,198,0,23.6,0,1691.6517355986343,202.88800108637554,1691.6517355986343,200.6577708059798,1681.105696775527,4,1,4,1,7,183,0,30.5,0,1532.2765886724892,216.5809865658006,1533.4159077407223,215.38712737621773,1536.9676669263267,2,1,2,1,0,0,1.56,2.62
2020Bre24Tro861598616,Auckland,20200113,1,0,0,0,Thiago Monteiro,Benoit Paire,183,1,25.6,0,1228.4848123784072,297.5539856751337,1228.4848123784072,296.03779216707727,1228.4848123784072,0,1,0,1,7,196,0,30.6,0,1682.5838112348574,175.1656688446815,1681.7007454260815,174.0435453426861,1676.0692186431263,4,2,4,2,0,0,2.57,1.57
2020Knd69Api84800636,Auckland,20200113,1,0,0,0,Andreas Seppi,Kyle Edmund,190,0,35.8,0,1266.7127692116294,289.0046021853131,1266.7127692116294,287.4433162978243,1266.7127692116294,0,1,0,1,7,188,0,25.0,0,1071.8983549398479,242.74474050419053,1072.9289123232495,241.69886151157357,1027.3657641501436,0,2,0,2,0,0,3.22,1.39
2020Jer20Ten1011770553,Auckland,20200113,1,0,0,0,Tennys Sandgren,John Isner,188,0,28.4,0,1388.0167290412542,281.84571740972314,1388.0167290412542,280.2445511017146,1388.0167290412542,0,1,0,1,7,206,0,34.7,0,1261.8767214565676,193.30944049239594,1261.097237517845,191.8758087221475,1264.0456197070453,1,4,1,4,0,0,2.71,1.53
2020Urt57Mto76900690,Auckland,20200113,1,0,0,0,Marco Cecchinato,Ugo Humbert,185,0,27.2,0,1349.6384236719841,280.817859083696,1349.6384236719841,279.21079846658967,1349.6384236719841,0,1,0,1,7,188,1,21.5,0,1694.5565196055452,189.00787523242778,1692.873003769415,187.99513332732124,1676.2654585673308,4,1,4,1,0,0,3.25,1.39
2020Dov13Vil1462200360,Auckland,20200113,1,0,0,0,Denis Shapovalov,Vasek Pospisil,185,1,20.7,0,1428.6056692236598,192.2566602221571,1429.2790652976357,190.60137606232354,1438.7538767641117,2,3,2,3,0,193,0,29.5,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.51,2.76
